Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo
172.225,2.063,-27.644,-0.101,-227.522,-0.726
173.232,2.063,-26.658,-0.069,-226.53,-0.724
174.252,2.061,-25.637,-0.051,-225.489,-0.724
175.225,2.061,-24.666,-0.019,-224.485,-0.723
176.228,2.061,-23.67,0.005,-223.48,-0.724
177.25,2.06,-22.688,0.039,-222.596,-0.72
178.245,2.06,-21.66,0.059,-221.473,-0.721
179.253,2.059,-20.664,0.087,-220.477,-0.721
180.27,2.058,-19.656,0.108,-219.506,-0.72
181.243,2.059,-18.667,0.14,-218.519,-0.719
182.23,2.06,-17.653,0.159,-217.485,-0.719
183.233,2.058,-16.66,0.191,-216.555,-0.717
184.221,2.059,-15.639,0.204,-215.542,-0.717
185.234,2.059,-14.682,0.245,-214.583,-0.715
186.236,2.059,-13.635,0.258,-213.508,-0.715
187.246,2.058,-12.658,0.279,-212.535,-0.714
188.233,2.058,-11.677,0.303,-211.519,-0.714
189.234,2.058,-10.688,0.335,-210.566,-0.712
190.247,2.058,-9.664,0.35,-209.546,-0.712
191.235,2.059,-8.68,0.38,-208.551,-0.711
192.245,2.059,-7.659,0.394,-207.522,-0.712
193.285,2.056,-6.691,0.424,-206.633,-0.709
194.236,2.057,-5.668,0.442,-205.549,-0.71
195.226,2.059,-4.672,0.465,-204.597,-0.709
196.236,2.058,-3.671,0.482,-203.657,-0.708
197.232,2.058,-2.677,0.509,-202.667,-0.705
198.235,2.059,-1.658,0.523,-201.588,-0.706
199.246,2.058,-0.68,0.544,-200.606,-0.704
200.236,1.98,0.324,0.555,-199.549,-0.705
199.336,1.97,1.285,0.584,-198.604,-0.703
198.338,1.964,2.31,0.599,-197.554,-0.703
197.336,1.96,3.313,0.616,-196.567,-0.701
196.329,1.957,4.303,0.633,-195.536,-0.701
195.323,1.953,5.305,0.655,-194.56,-0.7
194.331,1.951,6.334,0.662,-193.529,-0.7
193.389,1.945,7.307,0.684,-192.53,-0.698
192.34,1.944,8.323,0.695,-191.533,-0.699
191.332,1.942,9.312,0.715,-190.646,-0.696
190.35,1.938,10.335,0.725,-189.538,-0.696
189.332,1.936,11.335,0.742,-188.533,-0.695
188.323,1.934,12.339,0.751,-187.549,-0.694
187.347,1.931,13.328,0.765,-186.55,-0.693
186.332,1.928,14.326,0.778,-185.5,-0.693
185.337,1.926,15.32,0.792,-184.555,-0.691
184.324,1.924,16.33,0.796,-183.527,-0.691
183.33,1.921,17.3,0.819,-182.571,-0.689
182.337,1.92,18.342,0.823,-181.503,-0.689
181.348,1.919,19.329,0.833,-180.539,-0.688
180.373,1.915,20.32,0.843,-179.532,-0.687
179.359,1.912,21.316,0.856,-178.583,-0.686
178.349,1.91,22.343,0.86,-177.597,-0.685
177.362,1.908,23.328,0.871,-176.573,-0.684
176.339,1.906,24.335,0.874,-175.525,-0.684
175.334,1.904,25.311,0.887,-174.603,-0.681
174.359,1.9,26.33,0.888,-173.5,-0.682
173.333,1.898,27.305,0.901,-172.526,-0.681
172.335,1.897,28.318,0.907,-171.551,-0.679
171.343,1.895,29.313,0.915,-170.55,-0.678
170.333,1.893,30.328,0.919,-169.492,-0.678
169.342,1.89,31.326,0.925,-168.528,-0.676
168.342,1.89,32.327,0.928,-167.501,-0.676
167.367,1.886,33.305,0.94,-166.565,-0.674
166.368,1.883,34.339,0.939,-165.531,-0.674
165.354,1.882,35.33,0.944,-164.581,-0.672
164.354,1.879,36.326,0.949,-163.542,-0.672
163.354,1.877,37.323,0.954,-162.56,-0.67
162.355,1.875,38.339,0.954,-161.53,-0.669
161.372,1.872,39.322,0.958,-160.534,-0.668
160.351,1.871,40.307,0.962,-159.532,-0.668
159.354,1.868,41.299,0.968,-158.629,-0.664
158.36,1.865,42.315,0.968,-157.527,-0.664
157.358,1.864,43.313,0.972,-156.543,-0.664
156.36,1.861,44.312,0.973,-155.568,-0.662
155.372,1.859,45.309,0.978,-154.577,-0.661
154.377,1.855,46.327,0.978,-153.556,-0.661
153.375,1.852,47.317,0.98,-152.608,-0.658
152.36,1.852,48.319,0.98,-151.601,-0.658
151.359,1.849,49.304,0.986,-150.63,-0.655
150.367,1.847,50.331,0.983,-149.552,-0.655
149.362,1.844,51.315,0.986,-148.559,-0.653
148.356,1.841,52.31,0.986,-147.545,-0.653
147.352,1.838,53.3,0.991,-146.577,-0.651
146.351,1.835,54.323,0.99,-145.556,-0.649
145.355,1.832,55.309,0.991,-144.537,-0.648
144.339,1.831,56.315,0.991,-143.521,-0.648
143.344,1.828,57.311,0.992,-142.593,-0.644
142.364,1.826,58.321,0.993,-141.511,-0.644
141.374,1.822,59.32,0.993,-140.543,-0.643
140.366,1.82,60.321,0.993,-139.581,-0.641
139.366,1.816,61.313,0.995,-138.586,-0.639
138.36,1.813,62.328,0.993,-137.532,-0.638
137.371,1.81,63.316,0.994,-136.558,-0.636
136.365,1.808,64.326,0.994,-135.529,-0.636
135.367,1.803,65.305,0.993,-134.578,-0.633
134.363,1.801,66.306,0.993,-133.542,-0.632
133.36,1.798,67.295,0.993,-132.562,-0.63
132.362,1.795,68.295,0.993,-131.544,-0.629
131.365,1.792,69.297,0.994,-130.56,-0.627
130.368,1.789,70.311,0.992,-129.539,-0.626
129.397,1.785,71.296,0.993,-128.563,-0.623
128.389,1.782,72.305,0.992,-127.572,-0.623
127.374,1.778,73.296,0.992,-126.66,-0.618
126.383,1.774,74.3,0.992,-125.575,-0.618
125.37,1.771,75.31,0.991,-124.577,-0.616
124.377,1.767,76.304,0.991,-123.581,-0.614
123.374,1.762,77.3,0.99,-122.583,-0.611
122.375,1.759,78.303,0.989,-121.543,-0.61
121.37,1.755,79.291,0.989,-120.584,-0.607
120.37,1.75,80.29,0.989,-119.554,-0.606
