voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
463.402,19.733,337.196,18.162,137.236,-12.158
462.486,19.718,338.123,18.268,138.236,-12.133
461.482,19.702,339.132,18.361,139.237,-12.11
460.401,19.7,340.162,18.414,140.23,-12.083
459.402,19.687,341.159,18.458,141.25,-12.061
458.35,19.684,342.132,18.535,142.234,-12.037
457.407,19.662,343.136,18.583,143.215,-12.01
456.356,19.652,344.121,18.69,144.205,-11.983
455.374,19.626,345.188,18.708,145.221,-11.957
454.325,19.62,346.166,18.77,146.218,-11.929
453.348,19.602,347.179,18.786,147.219,-11.9
452.336,19.586,348.132,18.853,148.23,-11.871
451.327,19.572,349.14,18.896,149.234,-11.842
450.326,19.575,350.138,18.934,150.237,-11.814
449.51,19.533,351.127,18.976,151.228,-11.78
448.372,19.521,352.114,19.089,152.234,-11.747
447.345,19.508,353.231,19.051,153.249,-11.716
446.359,19.491,354.147,19.114,154.25,-11.684
445.358,19.47,355.151,19.168,155.243,-11.653
444.327,19.46,356.179,19.208,156.229,-11.617
443.379,19.434,357.197,19.237,157.232,-11.58
442.349,19.423,358.202,19.295,158.241,-11.548
441.401,19.391,359.252,19.298,159.222,-11.508
440.337,19.379,360.223,19.342,160.224,-11.466
439.372,19.356,361.232,19.337,161.249,-11.434
438.373,19.342,362.166,19.388,162.228,-11.393
437.442,19.322,363.175,19.408,163.217,-11.35
436.488,19.289,364.155,19.455,164.227,-11.308
435.434,19.267,365.182,19.483,165.23,-11.266
434.385,19.261,366.199,19.488,166.234,-11.222
433.466,19.219,367.151,19.514,167.238,-11.182
432.354,19.208,368.123,19.583,168.211,-11.131
431.374,19.191,369.213,19.563,169.225,-11.087
430.419,19.165,370.143,19.612,170.211,-11.037
429.411,19.137,371.164,19.65,171.214,-10.99
428.362,19.12,372.207,19.653,172.202,-10.934
427.38,19.094,373.182,19.668,173.215,-10.878
426.359,19.082,374.14,19.702,174.238,-10.832
425.44,19.05,375.14,19.718,175.212,-10.777
424.417,19.034,376.112,19.765,176.207,-10.711
423.472,18.998,377.168,19.771,177.238,-10.659
422.428,18.977,378.142,19.809,178.226,-10.594
421.445,18.949,379.175,19.816,179.238,-10.529
420.43,18.92,380.14,19.853,180.252,-10.474
