tiempo (min),3er armonico
1738.670477,-23.06054843
1739.827856,-23.4803532
1740.97622,-23.43098652
1742.127386,-23.00503833
1743.278792,-23.30515244
1744.419932,-23.24127638
1745.563646,-23.12204172
1746.713024,-23.65297892
1747.861115,-23.60642751
1749.004613,-23.6633273
1750.158715,-23.3853052
1751.305348,-23.27225835
1752.45162,-23.48593264
1753.598882,-23.50227556
1754.742683,-23.76198624
1755.886602,-23.89327136
1757.043499,-23.23821005
1758.18753,-23.77417089
1759.339197,-23.81207554
1760.484595,-23.56504147
1761.627005,-23.64793735
1762.783546,-23.15556439
1763.933663,-23.61256119
1765.087815,-23.1068189
1766.226786,-23.92676308
1767.370577,-22.50744283
1768.518232,-23.45596968
1769.672351,-23.83485463
1770.814946,-23.30261704
1771.958423,-23.2459335
1773.102857,-22.89732381
1774.253959,-23.39134123
1775.403902,-23.0918811
1776.556554,-23.76330863
1777.701672,-23.60375868
1778.844559,-23.40148232
1779.999012,-23.38450554
1781.145747,-23.58673504
1782.294317,-23.86736702
1783.448219,-23.2426217
1784.603906,-23.12909667
1785.746599,-22.72828713
1786.89343,-23.38205001
1788.053983,-23.44339454
1789.201783,-23.46103756
1790.346628,-24.29849309
1791.489572,-23.4392496
1792.627127,-23.32674173
1793.777853,-23.75916563
1794.923881,-23.04038025
1796.067853,-23.23183815
1797.222482,-23.39664681
1798.364883,-23.30767711
1799.51526,-24.11261201
1800.666676,-23.57158938
1801.817765,-23.66806013
1802.973831,-22.82594872
1804.120864,-23.33421867
1805.277429,-23.63601494
1806.425612,-23.88156308
1807.57583,-23.62398234
1808.718329,-23.10467333
1809.856931,-23.61452518
1811.004866,-23.72693196
1812.14517,-23.35577091
1813.284768,-23.62917467
1814.425239,-22.66442745
1815.580843,-23.85896712
1816.736107,-22.84716563
1817.889349,-23.22939807
1819.035282,-23.55084213
1820.180442,-23.38671206
1821.333807,-23.28498242
1822.477831,-23.38606762
1823.617282,-23.87913896
1824.770066,-23.68999501
1825.912258,-23.36831995
1827.056907,-23.42452709
1828.214787,-22.60065485
1829.358757,-23.3634667
1830.510443,-22.98323604
1831.658852,-23.26554369
1832.808505,-23.08684578
1833.957978,-23.51286612
1835.103199,-23.42479241
1836.245821,-23.9362082
1837.403108,-23.19372319
1838.552282,-24.02453175
1839.695802,-23.18033349
1840.837048,-22.94422913
1841.986793,-23.34220791
1843.1318,-23.64460103
1844.286362,-23.82472067
1845.435802,-23.64505311
1846.594976,-23.04280668
1847.7425,-23.02722834
1848.900406,-24.26534035
1850.053509,-23.44930433
1851.216142,-23.56791139
1852.367966,-23.29581095
1853.534037,-23.39998124
1854.68047,-23.12363618
1855.834268,-23.78623502
1856.991461,-23.65567501
1858.145258,-23.38688374
1859.302459,-23.5018792
1860.452713,-23.65290053
1861.602257,-23.12628712
1862.756632,-23.19925776
1863.908438,-23.28586095
1865.064572,-23.32143969
1866.218223,-23.81948685
1867.379135,-23.43960452
1868.540579,-23.54635129
1869.694192,-23.43451511
1870.843985,-23.28916813
1872.000992,-23.56968011
1873.161696,-24.47791669
1874.311723,-23.46313661
1875.459897,-23.42249344
1876.616587,-23.05002992
1877.766812,-23.24139318
1878.928579,-23.50337395
1880.081088,-23.88886235
1881.233788,-22.9928183
1882.388811,-23.3137451
1883.547552,-23.72019989
1884.69437,-23.74711773
