voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
476.115,3.749,324.085,5.77,124.265,-19.435
475.182,3.744,325.093,5.765,125.265,-19.423
474.171,3.742,326.081,5.771,126.281,-19.417
473.202,3.736,327.103,5.763,127.267,-19.407
472.111,3.736,328.091,5.768,128.279,-19.396
471.13,3.733,329.123,5.751,129.294,-19.393
470.119,3.732,330.086,5.761,130.265,-19.383
469.174,3.728,331.111,5.752,131.25,-19.37
468.191,3.725,332.11,5.758,132.254,-19.362
467.152,3.723,333.155,5.749,133.259,-19.351
466.132,3.724,334.16,5.735,134.257,-19.342
465.257,3.715,335.112,5.73,135.257,-19.333
464.164,3.716,336.073,5.743,136.264,-19.322
463.214,3.714,337.142,5.715,137.264,-19.314
462.299,3.709,338.063,5.723,138.26,-19.303
461.29,3.706,339.074,5.723,139.265,-19.293
460.216,3.705,340.111,5.712,140.259,-19.28
459.21,3.701,341.106,5.702,141.269,-19.27
458.159,3.701,342.07,5.703,142.264,-19.262
457.226,3.695,343.077,5.697,143.234,-19.249
456.174,3.695,344.066,5.702,144.236,-19.231
455.195,3.69,345.125,5.687,145.254,-19.221
454.151,3.688,346.105,5.685,146.238,-19.205
453.165,3.684,347.12,5.674,147.25,-19.187
452.162,3.682,348.072,5.674,148.254,-19.176
451.148,3.681,349.082,5.667,149.247,-19.159
450.152,3.682,350.085,5.66,150.254,-19.144
449.328,3.671,351.063,5.657,151.257,-19.13
448.18,3.671,352.062,5.667,152.252,-19.106
447.167,3.671,353.174,5.642,153.27,-19.089
446.186,3.668,354.083,5.644,154.275,-19.076
445.182,3.665,355.083,5.642,155.264,-19.058
444.155,3.664,356.112,5.638,156.252,-19.035
443.206,3.66,357.14,5.63,157.253,-19.014
442.179,3.66,358.14,5.629,158.258,-18.996
441.228,3.654,359.189,5.618,159.246,-18.976
440.165,3.654,360.154,5.616,160.245,-18.943
439.2,3.651,361.164,5.605,161.27,-18.929
438.203,3.65,362.104,5.605,162.25,-18.902
437.272,3.647,363.108,5.599,163.244,-18.87
436.313,3.641,364.086,5.599,164.251,-18.841
435.255,3.639,365.113,5.593,165.251,-18.807
434.196,3.64,366.127,5.584,166.257,-18.773
433.293,3.632,367.084,5.58,167.26,-18.748
432.181,3.633,368.056,5.585,168.232,-18.702
431.197,3.631,369.15,5.569,169.236,-18.664
430.25,3.627,370.075,5.571,170.218,-18.617
429.234,3.624,371.101,5.57,171.232,-18.573
428.187,3.623,372.151,5.56,172.221,-18.523
427.206,3.619,373.117,5.553,173.229,-18.467
426.189,3.62,374.068,5.551,174.25,-18.423
425.269,3.613,375.066,5.547,175.228,-18.368
424.242,3.614,376.046,5.548,176.225,-18.297
423.303,3.607,377.108,5.538,177.25,-18.245
422.261,3.606,378.074,5.538,178.237,-18.179
421.269,3.603,379.109,5.531,179.244,-18.099
420.258,3.601,380.075,5.53,180.269,-18.035
419.238,3.599,381.101,5.527,181.253,-17.966
418.245,3.6,382.117,5.52,182.234,-17.894
417.379,3.589,383.105,5.517,183.221,-17.815
416.267,3.59,384.118,5.52,184.221,-17.73
415.272,3.587,385.264,5.502,185.236,-17.657
414.307,3.585,386.116,5.504,186.231,-17.572
413.329,3.581,387.095,5.503,187.246,-17.51
412.327,3.581,388.104,5.499,188.223,-17.445
411.389,3.576,389.105,5.495,189.232,-17.386
410.38,3.575,390.086,5.495,190.239,-17.329
409.401,3.568,391.112,5.487,191.234,-17.241
408.316,3.568,392.084,5.488,192.242,-17.108
407.316,3.564,393.134,5.481,193.283,-16.999
406.282,3.564,394.072,5.481,194.223,-16.824
405.318,3.56,395.109,5.477,195.221,-16.659
404.315,3.556,396.104,5.477,196.22,-16.499
403.268,3.552,397.167,5.471,197.227,-16.35
402.229,3.554,398.164,5.466,198.23,-16.201
401.326,3.546,399.113,5.463,199.239,-16.045
400.227,3.547,400.081,5.466,200.237,-15.843
399.253,3.545,401.182,5.455,201.249,-15.646
398.308,3.54,402.087,5.458,202.24,-15.403
397.306,3.536,403.109,5.457,203.257,-15.157
396.244,3.535,404.169,5.453,204.257,-14.9
395.248,3.531,405.172,5.448,205.281,-14.672
394.218,3.531,406.139,5.448,206.275,-14.487
393.271,3.525,407.167,5.444,207.24,-14.298
392.242,3.523,408.167,5.445,208.221,-14.088
391.259,3.518,409.259,5.439,209.252,-13.961
390.219,3.518,410.244,5.438,210.215,-13.788
389.246,3.514,411.253,5.432,211.221,-13.624
388.238,3.511,412.193,5.431,212.236,-13.489
387.231,3.507,413.188,5.429,213.233,-13.358
386.241,3.509,414.18,5.425,214.218,-13.219
385.392,3.496,415.138,5.424,215.211,-13.071
384.265,3.498,416.119,5.427,216.213,-12.9
383.24,3.496,417.241,5.416,217.232,-12.765
382.25,3.493,418.111,5.417,218.229,-12.621
381.23,3.488,419.099,5.416,219.217,-12.481
